,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
All (Total),"149,186","157,985","168,629","190,156","191,103","201,481","205,116","216,065","221,298","227,875","231,527","236,491","236,438","239,074","234,384","243,035","247,982","239,748","223,557","236,010","244,654","252,300","261,936","283,490","292,330","282,672","265,432","271,529","284,484","304,630","321,170","330,489","341,998","349,447","357,819","367,512","374,777","378,953","394,169","399,873","399,238","405,660","414,634","427,946","438,199","457,004","474,089","480,771","469,231","456,265","453,452","450,380","448,900","464,416","465,091","447,279","437,705","427,708","433,085","447,065","448,309","440,503",
All (Capital),"86,813","91,253","101,645","117,671","116,783","123,841","128,425","134,879","139,815","143,647","144,049","147,388","145,731","146,625","138,517","143,061","146,091","135,851","117,849","120,910","125,213","122,369","125,511","142,650","147,367","129,627","115,932","118,179","128,702","144,383","154,625","160,624","168,691","172,457","177,858","184,543","187,007","187,391","192,695","194,141","191,245","191,981","197,590","209,473","218,375","228,109","239,250","243,237","236,716","221,236","214,972","207,077","203,412","209,090","212,135","198,883","187,983","179,422","179,929","188,632","183,651","174,021",
All (O&M),"62,373","66,732","66,983","72,486","74,319","77,641","76,691","81,185","81,482","84,228","87,478","89,102","90,707","92,449","95,866","99,974","101,891","103,897","105,708","115,099","119,441","129,931","136,425","140,839","144,964","153,045","149,500","153,350","155,781","160,247","166,545","169,865","173,306","176,989","179,961","182,969","187,770","191,562","201,474","205,732","207,993","213,679","217,044","218,473","219,824","228,894","234,839","237,534","232,515","235,029","238,480","243,303","245,488","255,326","252,956","248,396","249,722","248,286","253,155","258,432","264,658","266,481",
Highways (Total),"96,133","102,157","110,724","123,554","122,999","127,361","131,033","137,178","141,037","143,731","142,815","149,030","147,428","148,082","144,031","146,497","146,180","133,029","120,110","121,699","125,725","120,723","127,957","138,779","140,088","126,020","116,461","120,233","130,531","144,909","152,251","153,645","158,139","161,145","163,549","167,308","168,359","170,257","176,898","179,960","178,332","180,315","186,925","194,084","200,355","205,220","212,095","209,604","204,449","199,158","198,252","191,880","187,951","184,860","182,211","174,941","172,629","167,611","170,031","178,469","181,014","176,903",
Highways (Capital),"61,892","65,185","72,582","84,498","83,204","85,523","90,118","94,175","98,378","100,110","98,511","103,938","101,913","101,947","96,801","98,409","97,667","84,397","71,163","70,491","73,255","66,266","70,965","80,901","82,536","70,044","60,320","62,218","71,415","83,324","88,623","89,771","95,775","98,224","99,725","103,449","104,188","104,941","109,905","111,458","109,188","109,532","114,610","120,156","124,136","128,198","133,296","130,223","127,065","121,119","119,161","112,762","108,859","104,882","104,952","98,696","97,086","91,622","90,933","98,092","98,511","93,815",
Highways (O&M),"34,240","36,972","38,142","39,057","39,795","41,838","40,915","43,003","42,659","43,621","44,303","45,092","45,515","46,135","47,231","48,088","48,513","48,632","48,948","51,208","52,470","54,457","56,991","57,878","57,552","55,976","56,141","58,015","59,116","61,584","63,627","63,874","62,364","62,921","63,824","63,859","64,171","65,316","66,993","68,502","69,144","70,783","72,315","73,927","76,219","77,022","78,799","79,381","77,384","78,040","79,091","79,118","79,092","79,978","77,259","76,246","75,544","75,988","79,098","80,378","82,504","83,087",
Mass Transit (Total),"8,328","8,136","8,319","8,438","8,714","8,561","8,504","9,654","10,011","11,624","10,893","11,972","13,718","14,376","13,122","14,134","15,423","18,439","17,602","20,873","21,697","26,718","26,539","28,734","31,314","34,433","36,696","39,213","40,521","41,149","42,362","42,885","43,123","43,578","44,623","46,407","47,117","46,102","53,179","55,108","53,605","53,969","51,122","52,249","54,832","56,295","62,358","66,895","66,891","63,264","61,301","59,316","61,284","67,984","67,621","64,855","65,998","67,255","70,199","71,758","71,647","69,920",
Mass Transit (Capital),"1,415","1,459","1,622","1,255","1,180","1,539","1,145","1,981","1,829","2,761","2,310","3,247","4,208","4,904","2,821","3,172","3,415","5,992","4,731","5,401","6,228","7,760","7,200","7,933","8,566","9,459","9,994","11,461","12,593","12,714","12,712","12,728","12,267","13,475","14,800","14,495","14,413","14,581","18,631","19,108","18,130","17,242","16,645","16,947","18,976","18,401","23,214","27,011","27,141","22,615","20,142","16,685","17,266","21,675","22,061","20,880","21,000","22,303","24,187","24,732","23,338","21,261",
Mass Transit (O&M),"6,913","6,677","6,697","7,183","7,534","7,022","7,359","7,673","8,182","8,863","8,583","8,725","9,510","9,471","10,301","10,962","12,007","12,446","12,871","15,472","15,469","18,957","19,338","20,801","22,748","24,974","26,702","27,752","27,929","28,435","29,650","30,157","30,856","30,103","29,823","31,911","32,705","31,520","34,549","36,000","35,475","36,727","34,478","35,301","35,855","37,894","39,144","39,885","39,749","40,649","41,159","42,631","44,018","46,309","45,559","43,974","44,998","44,952","46,011","47,025","48,308","48,660",
Rail (Total),87,105,139,115,95,92,232,104,124,231,199,306,198,194,183,663,800,928,"1,155","4,020","6,209","8,134","8,093","8,464","8,725","10,977","6,054","3,798","4,254","2,903","2,275","2,066","1,371","1,380","1,180","1,772","2,043","1,775","1,802","2,242","2,131","2,331","2,159",883,"1,494","1,423","2,426","1,971","2,275","2,067","2,048","1,900","1,807","2,178","3,141","2,835","2,717","2,786","3,096","2,910","3,945","4,673",
Rail (Capital),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,920,"2,642","4,479","4,182","5,409","5,095","1,562","1,623","1,327","1,411","1,115",443,460,0,-17,-129,581,904,654,753,"1,180","1,273","1,512","1,386",663,"1,247","1,181","2,140","1,007",915,900,"1,163","1,050","1,019","1,317","2,195","1,921","1,813","1,946","2,404","2,606","3,695","4,428",
Rail (O&M),87,105,139,115,95,92,232,104,124,231,199,306,198,194,183,663,800,928,914,"3,100","3,567","3,655","3,911","3,055","3,630","9,415","4,431","2,471","2,842","1,787","1,833","1,606","1,371","1,397","1,309","1,191","1,138","1,121","1,049","1,062",857,819,773,220,247,242,286,964,"1,360","1,167",886,850,788,861,946,914,904,840,692,304,250,245,
Aviation (Total),"4,101","5,075","6,185","8,373","9,543","11,981","12,070","11,730","11,313","11,886","11,649","12,114","12,155","13,877","15,853","17,688","18,762","19,398","16,467","16,214","16,638","16,455","18,047","19,034","20,386","19,554","18,082","19,342","20,962","22,349","24,527","25,966","27,559","28,684","30,430","32,219","36,062","38,865","38,982","35,410","35,773","37,038","38,212","40,534","40,280","45,180","46,204","46,656","44,282","42,777","40,689","39,713","39,887","41,834","42,464","39,832","38,168","36,290","35,983","37,413","36,749","37,085",
Aviation (Capital),"1,675","2,334","3,715","4,147","4,467","5,989","5,294","4,353","3,800","3,914","3,443","3,518","3,667","4,992","6,196","6,387","7,872","8,754","5,293","4,907","4,782","4,176","5,287","6,172","7,033","6,096","5,424","5,879","7,116","8,146","10,101","11,205","12,145","12,094","13,242","14,429","17,320","19,624","19,205","16,470","15,838","16,566","16,807","18,802","18,633","21,366","21,613","22,003","21,614","19,256","17,057","16,055","15,822","16,628","17,678","15,419","13,323","12,354","11,615","12,250","11,223","11,449",
Aviation (O&M),"2,426","2,741","2,470","4,226","5,076","5,992","6,775","7,378","7,514","7,972","8,206","8,597","8,488","8,885","9,657","11,301","10,890","10,644","11,174","11,306","11,856","12,279","12,760","12,861","13,353","13,458","12,658","13,463","13,846","14,203","14,427","14,762","15,414","16,591","17,188","17,790","18,742","19,241","19,776","18,941","19,936","20,472","21,405","21,732","21,647","23,814","24,590","24,653","22,667","23,521","23,632","23,657","24,065","25,205","24,787","24,413","24,845","23,936","24,368","25,163","25,527","25,636",
Water Transportation (Total),"3,479","3,016","3,394","3,621","3,752","4,288","3,966","3,899","4,081","3,989","4,402","4,591","5,330","5,412","4,865","4,891","4,887","5,241","5,246","5,152","4,759","4,957","5,035","5,853","6,263","6,493","6,131","6,586","6,298","6,515","6,759","6,650","6,826","6,648","6,662","6,436","6,140","6,628","7,240","6,503","6,832","6,964","7,895","8,305","9,590","12,814","10,620","11,914","9,140","9,556","9,674","10,215","10,261","10,737","10,608","10,393","10,266","10,216","10,768","10,664","10,125","10,199",
Water Transportation (Capital),"1,458","1,357","1,710","1,846","1,824","2,389","2,112","2,216","2,089","2,025","2,439","2,502","3,234","3,159","2,579","2,598","2,528","2,718","2,730","2,479","2,012","1,933","1,954","2,679","2,995","3,076","2,661","3,014","2,785","3,023","3,305","3,075","3,179","2,953","2,926","2,890","2,471","2,947","3,543","2,720","3,071","3,067","3,004","3,413","4,732","7,449","4,477","6,358","3,727","3,589","3,803","4,155","4,011","4,228","4,197","3,948","3,881","3,960","4,542","4,179","3,612","3,673",
Water Transportation (O&M),"2,021","1,659","1,684","1,774","1,928","1,899","1,854","1,682","1,991","1,963","1,963","2,089","2,095","2,253","2,286","2,293","2,359","2,523","2,517","2,673","2,746","3,024","3,081","3,174","3,268","3,417","3,470","3,572","3,513","3,492","3,453","3,575","3,647","3,695","3,736","3,546","3,669","3,681","3,697","3,783","3,761","3,897","4,891","4,891","4,859","5,365","6,143","5,556","5,413","5,967","5,871","6,060","6,250","6,509","6,411","6,444","6,385","6,255","6,226","6,485","6,513","6,526",
Water Resources (Total),"10,074","11,767","12,310","15,782","13,648","15,042","14,368","16,113","16,573","16,181","19,381","19,750","18,539","16,556","14,905","15,883","15,730","15,534","14,498","15,189","14,931","15,965","16,270","17,681","18,719","17,326","15,471","15,518","15,694","16,461","16,611","17,559","21,064","21,964","22,542","21,588","22,633","22,040","22,913","24,024","24,247","24,231","26,449","27,550","28,555","32,506","30,185","30,168","27,822","27,423","27,971","28,697","28,463","29,261","31,469","30,800","31,399","29,065","28,259","28,937","28,632","28,690",
Water Resources (Capital),"6,026","6,515","7,949","9,161","8,775","10,055","10,699","11,945","12,354","11,749","13,188","13,433","11,961","9,836","8,397","9,478","9,607","8,853","8,518","8,562","8,070","8,900","8,204","8,297","8,880","7,788","7,771","7,349","7,748","8,089","7,936","8,374","9,092","9,589","10,189","9,267","8,798","7,838","7,600","8,609","8,605","7,659","8,870","10,567","12,772","14,420","12,721","11,640","10,948","10,292","10,747","11,360","11,365","10,964","11,833","11,505","10,317","8,625","8,321","8,751","8,081","7,981",
Water Resources (O&M),"4,048","5,253","4,361","6,621","4,873","4,987","3,669","4,168","4,219","4,432","6,193","6,317","6,578","6,720","6,508","6,405","6,123","6,681","5,979","6,627","6,862","7,065","8,066","9,384","9,839","9,538","7,701","8,169","7,946","8,372","8,676","9,185","11,971","12,374","12,353","12,321","13,835","14,202","15,313","15,415","15,642","16,572","17,579","16,983","15,783","18,086","17,463","18,528","16,874","17,131","17,225","17,337","17,098","18,296","19,636","19,295","21,082","20,440","19,938","20,186","20,551","20,709",
Water Utilities (Total),"26,983","27,729","27,558","30,274","32,351","34,157","34,943","37,387","38,158","40,233","42,189","38,727","39,070","40,578","41,426","43,278","46,200","47,179","48,478","52,863","54,695","59,348","59,996","64,947","66,835","67,869","66,537","66,838","66,224","70,345","76,385","81,718","83,917","86,049","88,833","91,782","92,424","93,286","93,154","96,626","98,318","100,812","101,871","104,342","103,093","103,566","110,202","113,563","114,373","112,019","113,517","118,659","119,247","127,563","127,576","123,623","116,529","114,486","114,748","116,913","116,196","113,034",
Water Utilities (Capital),"14,346","14,403","14,068","16,765","17,334","18,345","19,057","20,209","21,366","23,088","24,158","20,751","20,747","21,786","21,725","23,015","25,000","25,136","25,174","28,151","28,224","28,854","27,718","31,259","32,261","31,602","28,140","26,931","25,634","27,972","31,506","35,012","36,234","36,141","37,106","39,431","38,912","36,806","33,058","34,597","35,140","36,403","36,268","38,925","37,878","37,095","41,789","44,994","45,306","43,465","42,900","45,009","45,069","49,396","49,219","46,513","40,564","38,612","37,926","38,022","35,191","31,416",
Water Utilities (O&M),"12,638","13,326","13,490","13,509","15,017","15,811","15,887","17,178","16,792","17,146","18,031","17,976","18,322","18,792","19,701","20,263","21,200","22,043","23,305","24,713","26,471","30,494","32,278","33,688","34,575","36,267","38,397","39,907","40,589","42,373","44,879","46,706","47,683","49,909","51,727","52,352","53,511","56,480","60,097","62,029","63,178","64,410","65,602","65,417","65,215","66,471","68,413","68,569","69,067","68,555","70,617","73,650","74,178","78,168","78,357","77,110","75,965","75,874","76,822","78,891","81,005","81,618",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
