State,Location,System,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220,,,,State,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220,,Total,Not_Reported,Good_below95,Fair_95to170,Poor_above170,NotReported_Percent,Good_Percentage,Fair_Percentage,Poor
Minnesota,Rural,Other Freeways & Expressways,0,15.422,12.641,3.467,1.194,0.468,0.404,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Missouri,Rural,Other Freeways & Expressways,0,584.388,416.305,81.839,27.125,9.997,3.174,1.494,1.164,,,,,,,,,,,,,,,,,,,,,,,
Montana,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,Rural,Other Freeways & Expressways,19,66.32,125.67,59.13,30.23,15.05,9.19,3.99,3,,,,,,,,,,,,,,,,,,,,,,,
Nevada,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,Rural,Other Freeways & Expressways,0,8.671,0.553,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,Rural,Other Freeways & Expressways,0,7.91,19,4.62,2.22,1.2,0,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
New York,Rural,Other Freeways & Expressways,3.24,24.42,83.55,31.49,20.47,10.26,4.06,2.23,1.19,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,Rural,Other Freeways & Expressways,0.49,226.092,146.817,24.747,9.318,6.717,2.355,0.983,2.154,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Ohio,Rural,Other Freeways & Expressways,0,132.207,135.186,41.819,14.459,6.492,2.407,0.7,1.221,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Rural,Other Freeways & Expressways,0,0.1,0.901,0,0.2,0.2,0.2,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,
Oregon,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,Rural,Other Freeways & Expressways,0,112.007,158.651,38.232,14.759,9.401,6.568,4.641,5.954,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Rural,Other Freeways & Expressways,0,3.9,1.707,2,2.005,0.9,0,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Rural,Other Freeways & Expressways,0,10.085,26.653,4.055,3.121,0.2,0.35,0.1,0,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,Rural,Other Freeways & Expressways,0,107.865,103.073,47.225,21.838,6.558,2.395,1.525,0.328,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,Rural,Other Freeways & Expressways,0,9.031,5,0.23,0.117,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Texas,Rural,Other Freeways & Expressways,0.8,45.52,48.758,21.406,5.828,3.447,1.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
Utah,Rural,Other Freeways & Expressways,0,0.348,3.8,3,1.011,0.6,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,
Vermont,Rural,Other Freeways & Expressways,0,0,0.595,1.09,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Rural,Other Freeways & Expressways,0.162,19.488,58.354,10.769,2.386,0.744,0.342,0.124,0.041,,,,,,,,,,,,,,,,,,,,,,,
Washington,Rural,Other Freeways & Expressways,0,138.89,295.23,87.86,32.39,17.98,14.15,10.01,15.62,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Rural,Other Freeways & Expressways,0,0,0.108,0.2,0,0.13,0,0,0.018,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,Rural,Other Freeways & Expressways,0,54.76,55.53,43.35,24.33,15.77,5.98,2.08,1.56,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Rural,Other Principal Arterial,3.653,964.143,812.668,137.734,51.035,27.777,12.45,8.404,10.823,,,,,,,,,,,,,,,,,,,,,,,
Alaska,Rural,Other Principal Arterial,320.561,60.021,105.969,45.953,45.059,45.609,35.09,32.921,108.068,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Rural,Other Principal Arterial,43.19,385.168,398.051,165.611,103.662,58.459,28.246,15.683,12.84,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Rural,Other Principal Arterial,0.116,353.684,823.875,322.016,185.981,100.097,45.522,25.053,20.578,,,,,,,,,,,,,,,,,,,,,,,
California,Rural,Other Principal Arterial,31.89,851.281,1368.049,474.586,236.877,128.435,65.548,46.705,60.555,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Rural,Other Principal Arterial,0,600.39,1128.422,438.121,203.814,103.373,50.465,26.265,17.893,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,Rural,Other Principal Arterial,0,9.9,49.61,28.55,17.28,8.27,4.19,2.6,1.67,,,,,,,,,,,,,,,,,,,,,,,
Delaware,Rural,Other Principal Arterial,1.54,23.47,56.53,12.98,3.15,1.5,0.2,0.29,0.1,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,Rural,Other Principal Arterial,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Florida,Rural,Other Principal Arterial,0.653,1018.572,1197.574,265.624,84.131,32.639,9.253,4.678,3.922,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Rural,Other Principal Arterial,133.728,805.202,1078.895,264.241,94.874,44.678,15.239,7.39,8.243,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,Rural,Other Principal Arterial,0,1.2,20.035,17.027,12.146,11.728,6.726,4.2,4.988,,,,,,,,,,,,,,,,,,,,,,,
Idaho,Rural,Other Principal Arterial,120.23,463.174,702.256,218.727,90.904,37.426,14.459,9.378,5.088,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Rural,Other Principal Arterial,6.9,378.18,971.58,438.22,254.43,152.78,75.57,42.08,40.44,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Rural,Other Principal Arterial,28.102,715.992,677.278,256.863,133.892,68.223,35.181,32.813,17.065,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Rural,Other Principal Arterial,31.368,914.191,1127.865,553.377,346.42,194.08,102.648,67.975,80.15,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Rural,Other Principal Arterial,0,1532.891,794.221,162.824,67.343,36.849,17.456,8.232,7.176,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,Rural,Other Principal Arterial,4.546,515.316,486.378,122.177,48.29,23.13,9.359,4.292,5.15,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,Rural,Other Principal Arterial,17.861,131.363,410.841,187.902,95.172,64.374,37.425,18.691,36.179,,,,,,,,,,,,,,,,,,,,,,,
Maine,Rural,Other Principal Arterial,0.15,222.503,291.203,102.026,57.404,34.56,22.38,18.74,45.16,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Rural,Other Principal Arterial,0.486,135.266,132.215,25.835,10.804,6.956,3.377,3.087,2.859,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,Rural,Other Principal Arterial,0,17.034,45.993,21.34,10.905,4.996,2,1.333,1.66,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Rural,Other Principal Arterial,0.021,856.479,816.376,234.314,117.348,57.009,21.1,12.34,14.993,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,Rural,Other Principal Arterial,0.512,1249.788,1136.019,479.354,284.359,154.711,72.207,40.407,37.042,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,Rural,Other Principal Arterial,0,481.721,726.727,250.937,154.405,90.075,42.4,19.167,17.806,,,,,,,,,,,,,,,,,,,,,,,
Missouri,Rural,Other Principal Arterial,0.51,644.362,845.552,229.814,86.342,40.218,16.253,8.568,7.94,,,,,,,,,,,,,,,,,,,,,,,
Montana,Rural,Other Principal Arterial,0,635.708,1317.576,424.615,189.671,93.082,43.969,23.243,44.98,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,Rural,Other Principal Arterial,210.81,938.46,708.09,216.21,115.86,66.97,30.59,20.44,31.41,,,,,,,,,,,,,,,,,,,,,,,
Nevada,Rural,Other Principal Arterial,0,990.133,413.773,75.688,27.049,6.951,3.364,1.553,0.913,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,Rural,Other Principal Arterial,0.053,151.348,109.922,28.273,14.453,7.619,4,2.92,4.154,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,Rural,Other Principal Arterial,0,38.37,43.37,19.84,19.47,17.24,8.26,5.47,7.62,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,Rural,Other Principal Arterial,2.503,680.646,700.829,253.174,130.236,71.863,36.825,19.189,21.967,,,,,,,,,,,,,,,,,,,,,,,
New York,Rural,Other Principal Arterial,37.45,289.63,1010.88,354.71,178.48,103,60.08,31.72,39.87,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,Rural,Other Principal Arterial,14.766,339.919,778.361,254.143,100.372,41.817,20.001,10.442,12.559,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,Rural,Other Principal Arterial,0,1233.563,1138.039,312.16,132.817,62.674,24.795,14.943,24.316,,,,,,,,,,,,,,,,,,,,,,,
Ohio,Rural,Other Principal Arterial,4.882,528.758,661.108,177.736,80.86,38.005,16.739,9.096,10.627,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Rural,Other Principal Arterial,41.035,384.203,948.429,390.424,208.162,119.259,68.446,40.268,46.719,,,,,,,,,,,,,,,,,,,,,,,
Oregon,Rural,Other Principal Arterial,0.12,669.39,1325.74,376.41,157.35,71.39,28.04,15.54,12.96,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,Rural,Other Principal Arterial,0,302.884,715.044,243.482,119.191,60.496,32.327,18.735,24.49,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Rural,Other Principal Arterial,0.834,4.1,11.624,13.429,17.609,15.869,12.734,7.981,13.039,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Rural,Other Principal Arterial,0,203.374,701.479,308.283,167.466,84.624,40.139,21.059,19.176,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,Rural,Other Principal Arterial,22.102,400.987,1113.936,507.676,269.276,137.978,70.588,41.326,28.454,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,Rural,Other Principal Arterial,98.523,670.101,689.623,170.718,80.271,41.997,17.579,9.792,5.697,,,,,,,,,,,,,,,,,,,,,,,
Texas,Rural,Other Principal Arterial,41.881,2382.451,3597.263,1385.42,587.021,246.024,94.237,43.029,35.01,,,,,,,,,,,,,,,,,,,,,,,
Utah,Rural,Other Principal Arterial,0,205.466,513.035,237.303,118.048,53.056,18.357,9.427,7.187,,,,,,,,,,,,,,,,,,,,,,,
Vermont,Rural,Other Principal Arterial,0.936,99.112,134.746,36.774,19.802,13.684,8.295,6.917,9.339,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Rural,Other Principal Arterial,0.624,256.69,828.907,314.856,137.12,56.26,22.879,10.563,5.356,,,,,,,,,,,,,,,,,,,,,,,
Washington,Rural,Other Principal Arterial,0,193.57,635.677,261.434,114.19,52.699,24.136,14.76,16.674,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Rural,Other Principal Arterial,22.687,132.631,390.495,213.392,117.9,66.784,32.068,20.512,19.88,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,Rural,Other Principal Arterial,0.76,857.55,912.005,480.73,281.675,157.18,80.315,50.91,50.14,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Rural,Other Principal Arterial,2.948,0.1,4.03,5.087,4.263,6.46,5.215,6.267,12.4,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Rural,Minor Arterial,21.18574,899.95511,2219.4344,495.00936,198.78764,80.46929,26.61289,18.53793,23.71889,,,,,,,,,,,,,,,,,,,,,,,
Alaska,Rural,Minor Arterial,82.73434,40.11053,51.11825,32.65702,49.00602,47.02244,35.77411,30.69496,48.65056,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Rural,Minor Arterial,10.11851,195.84425,435.34006,224.8873,158.37427,93.31466,52.60755,21.4908,15.2174,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Rural,Minor Arterial,23.26834,281.89618,1292.69781,563.52904,348.10677,268.71996,113.66671,85.11277,65.41223,,,,,,,,,,,,,,,,,,,,,,,
California,Rural,Minor Arterial,12.80873,214.47595,1886.09197,980.04178,873.60692,823.93896,509.42892,358.77129,308.23417,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Rural,Minor Arterial,291.94165,111.49364,967.30063,715.4065,548.61257,339.41473,192.94542,138.95541,169.31398,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,Rural,Minor Arterial,0.27172,2.5186,49.79547,51.67268,58.21225,26.65105,15.77101,5.59419,7.3411,,,,,,,,,,,,,,,,,,,,,,,
Delaware,Rural,Minor Arterial,0.11687,22.1238,46.95048,12.33058,4.81746,1.13473,0.30899,1.2944,0.51128,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,Rural,Minor Arterial,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Florida,Rural,Minor Arterial,8.49998,512.80916,1187.79694,318.91845,112.02811,30.55594,7.91543,10.96178,11.06788,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Rural,Minor Arterial,1433.3302,1459.96137,2101.49596,556.83702,216.33038,92.58939,26.08864,14.80885,22.31787,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,Rural,Minor Arterial,1.42,42.666,51.721,38.474,42.299,33.105,19.531,11.3,15.851,,,,,,,,,,,,,,,,,,,,,,,
Idaho,Rural,Minor Arterial,6.05743,236.38475,504.6469,161.85788,120.1416,67.37429,19.09533,11.28736,11.37333,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Rural,Minor Arterial,0,343.38616,2259.44378,1107.05985,478.82343,326.68942,114.80727,58.99144,29.64882,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Rural,Minor Arterial,11.0669,557.55045,795.01053,312.50043,236.29168,97.36764,42.98083,15.98288,16.62063,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Rural,Minor Arterial,2.59476,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Rural,Minor Arterial,36.03033,1071.42712,2212.82573,587.16719,196.42086,82.47723,37.87259,21.12806,21.08346,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,Rural,Minor Arterial,23.21103,240.8456,1024.90966,572.79812,272.16156,106.15805,49.32184,22.72248,21.95469,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,Rural,Minor Arterial,20.37904,141.61983,747.25632,384.79059,266.73745,167.89319,88.60511,47.04041,60.08692,,,,,,,,,,,,,,,,,,,,,,,
Maine,Rural,Minor Arterial,5.061,190.16,303.027,143.91,100.46,71.52,41.8,29.27,60.72,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Rural,Minor Arterial,9.67934,170.06691,325.5684,118.351,43.39128,21.65441,10.12885,6.22838,12.09719,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,Rural,Minor Arterial,1.28443,47.54326,116.41212,46.44738,29.92577,27.65903,12.89177,6.7921,17.26295,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Rural,Minor Arterial,47.69461,1211.12831,2326.68014,695.84435,273.36207,156.38085,74.53523,52.98994,54.90471,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,Rural,Minor Arterial,15.97516,1825.71998,1740.11818,1099.07165,718.78852,402.82344,316.80164,182.37211,151.08439,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,Rural,Minor Arterial,34.99645,549.67909,1371.67943,615.85147,458.40326,342.30488,213.0015,124.33143,78.82394,,,,,,,,,,,,,,,,,,,,,,,
Missouri,Rural,Minor Arterial,27.88928,239.58571,1248.04433,1088.08204,733.58339,369.95684,167.8927,89.01064,57.80416,,,,,,,,,,,,,,,,,,,,,,,
Montana,Rural,Minor Arterial,8.29717,396.22066,1361.98269,529.59966,272.92415,144.29926,73.07332,34.33292,38.64744,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,Rural,Minor Arterial,20.99852,2012.81944,1113.81087,278.96195,192.85288,117.92896,58.99353,64.01513,78.71768,,,,,,,,,,,,,,,,,,,,,,,
Nevada,Rural,Minor Arterial,0.58594,152.00032,355.9695,136.40127,45.93794,19.79424,5.1982,3.89695,1.76792,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,Rural,Minor Arterial,3.51172,168.42255,191.28841,58.42325,35.31029,35.45802,24.60291,24.32332,87.04055,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,Rural,Minor Arterial,3.01805,43.32171,98.82589,52.24081,28.68909,29.30348,14.87903,7.84328,6.95702,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,Rural,Minor Arterial,9.89822,267.75091,505.15045,392.91513,291.29948,256.56281,176.21472,121.43175,282.48018,,,,,,,,,,,,,,,,,,,,,,,
New York,Rural,Minor Arterial,18.79056,289.95085,1106.21693,586.00954,360.96001,195.42211,105.50819,43.90602,124.09349,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,Rural,Minor Arterial,16.63492,129.86992,1278.17392,460.91206,343.62593,192.77598,113.42396,44.86346,72.26144,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,Rural,Minor Arterial,4.61933,791.53878,1133.33434,306.61599,138.25369,59.36292,37.00211,21.42206,38.16208,,,,,,,,,,,,,,,,,,,,,,,
Ohio,Rural,Minor Arterial,10.88768,626.27167,1337.19488,398.96278,156.68494,84.82561,33.6794,10.0396,6.8946,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Rural,Minor Arterial,23.08968,8.04593,14.12538,7.66553,6.29748,4.67338,1.45879,1.33003,2.87002,,,,,,,,,,,,,,,,,,,,,,,
Oregon,Rural,Minor Arterial,10.20655,117.64474,977.40161,719.65543,260.16027,45.53245,28.74264,41.79552,0,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,Rural,Minor Arterial,18.5577,325.57061,1401.74791,1238.68657,656.62259,361.81887,194.80373,99.22157,170.5302,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Rural,Minor Arterial,0.04957,0,0,1.63654,2.67668,5.68929,6.69415,3.11207,3.53914,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Rural,Minor Arterial,17.88049,344.12544,1238.47541,752.17995,333.35918,192.25933,65.63489,35.71714,23.29097,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,Rural,Minor Arterial,19.70542,497.556,1135.63957,555.17667,324.74132,189.31715,99.23335,51.61968,36.03042,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,Rural,Minor Arterial,37.52128,2.19164,20.97777,5.05764,0,0.031,0,5.6196,0,,,,,,,,,,,,,,,,,,,,,,,
Texas,Rural,Minor Arterial,85.62792,14.4232,58.80798,160.47166,206.8795,104.63218,26.2044,9.2152,0,,,,,,,,,,,,,,,,,,,,,,,
Utah,Rural,Minor Arterial,1.56527,148.31098,466.6589,273.02399,210.04521,108.81475,62.6889,22.29322,19.51963,,,,,,,,,,,,,,,,,,,,,,,
Vermont,Rural,Minor Arterial,4.87669,99.32908,329.5777,132.6059,74.47732,45.65721,18.05655,16.77376,14.77017,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Rural,Minor Arterial,12.57302,170.8718,1670.34362,1096.57617,396.24612,162.71068,43.47128,16.73919,5.83624,,,,,,,,,,,,,,,,,,,,,,,
Washington,Rural,Minor Arterial,11.81411,177.31878,620.03299,420.33597,284.18862,210.3248,125.02584,69.05935,117.93363,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Rural,Minor Arterial,3.61448,25.19245,516.99282,384.85223,183.4232,106.92108,52.39042,38.43575,37.89218,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,Rural,Minor Arterial,0,1220.07229,1270.31661,598.96823,468.24277,369.76346,239.96151,212.85108,250.18969,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Rural,Minor Arterial,0,0,0,0,5.34124,3.4184,5.7725,17.4864,101.65225,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Urban,Interstate,0.868,260.294,75.982,30.951,23.622,18.404,10.995,6.249,5.674,,,,,,,,,,,,,,,,,,,,,,,
Alaska,Urban,Interstate,0,28.112,28.288,11.862,5.391,2.929,0.8,0.293,1.051,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Urban,Interstate,2.277,147.136,58.515,23.381,11.566,5.203,2.532,1.2,0.9,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Urban,Interstate,0,117.264,103.485,38.654,21.579,13.368,7.025,4.715,4.138,,,,,,,,,,,,,,,,,,,,,,,
California,Urban,Interstate,13.825,261.745,431.269,213.979,153.387,89.822,47.328,31.231,27.523,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Urban,Interstate,0,66.933,118.04,50.878,37.131,16.102,7.883,3.5,3.251,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,Urban,Interstate,0,152.24,103.21,31.94,14.96,8.45,2.6,1.7,2.5,,,,,,,,,,,,,,,,,,,,,,,
Delaware,Urban,Interstate,0,4.7,16.97,6.84,4.83,2.99,2.47,0.7,1.11,,,,,,,,,,,,,,,,,,,,,,,
