State,Location,System,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220,,,,State,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220,,Total,Not_Reported,Good_below95,Fair_95to170,Poor_above170,NotReported_Percent,Good_Percentage,Fair_Percentage,Poor
District of Columbia,Urban,Interstate,0.125,0,1.167,0,4.261,0,2.162,0,4.107,,,,,,,,,,,,,,,,,,,,,,,
Florida,Urban,Interstate,0,447.71,234.726,39.444,22.128,16.219,8.54,4.925,4.293,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Urban,Interstate,0,370.211,207.973,69.13,29.745,15.852,9.204,3.902,3.718,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,Urban,Interstate,0,0.716,12.475,11.6,9.1,10.4,4.6,2.949,3.019,,,,,,,,,,,,,,,,,,,,,,,
Idaho,Urban,Interstate,0.346,51.198,28.715,6.26,3.978,1.514,0.649,0.2,0.336,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Urban,Interstate,1.41,322.14,388.82,90.22,56.52,36.92,21.65,12.5,11.52,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Urban,Interstate,3.219,188.052,128.598,69.163,46.325,29.709,15.446,9.999,12.375,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Urban,Interstate,12.746,61.369,63.512,19.996,9.078,5.026,2.443,1.942,1.512,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Urban,Interstate,0.6,119.131,57,26.498,15.658,8.956,4.073,1.5,1.044,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,Urban,Interstate,1.127,117.831,65.835,20.13,14.452,6.813,3.273,1.719,1.301,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,Urban,Interstate,10.55,108.18,90.623,53.272,48.01,49.184,25.628,13.4,11.498,,,,,,,,,,,,,,,,,,,,,,,
Maine,Urban,Interstate,0,53.13,20.46,6.67,3.4,2.65,0.3,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Urban,Interstate,0.101,136.821,123.863,28.802,14.723,10.149,6.253,6.166,11.023,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,Urban,Interstate,0.389,317.316,111.788,30.529,17.997,12.528,7.629,4.213,5.667,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Urban,Interstate,3.187,125.059,295.007,88.922,58.331,43.779,24.416,18.298,19.076,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,Urban,Interstate,0.001,78.635,142.903,48.586,23.435,14.747,8.303,4.092,4.711,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,Urban,Interstate,0,147.562,47.793,23.682,15.824,10.117,4.433,2.456,1.238,,,,,,,,,,,,,,,,,,,,,,,
Missouri,Urban,Interstate,0,309.53,136.528,39.165,23.926,15.537,6.7,3.9,2.82,,,,,,,,,,,,,,,,,,,,,,,
Montana,Urban,Interstate,0,41.337,42.28,6.428,3.547,2.16,1,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,Urban,Interstate,2.02,18.95,26.37,10.23,5.74,2.69,1.4,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,
Nevada,Urban,Interstate,8.108,72.093,38.837,19.038,14.254,5.2,2.6,1.6,1.189,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,Urban,Interstate,0,64.587,14.294,2.772,0.895,0.3,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,Urban,Interstate,0,128.1,150.26,33.82,22.14,17.18,11.75,8.69,14.72,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,Urban,Interstate,0,105.168,28.785,9.335,5.537,3.587,1.423,1.078,1.174,,,,,,,,,,,,,,,,,,,,,,,
New York,Urban,Interstate,48.23,230.59,353.44,131.22,66.08,44.36,25.58,16.14,23.08,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,Urban,Interstate,5.02,353.122,230.381,81.046,41.146,20.797,8.677,3.417,1.783,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,Urban,Interstate,0,18.207,27.844,8.064,3.604,2.247,0.854,0.239,0.132,,,,,,,,,,,,,,,,,,,,,,,
Ohio,Urban,Interstate,0,383.159,317.78,103.306,56.613,33.206,15.703,10.478,11.135,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Urban,Interstate,0.571,85.59,112.179,38.026,17.388,14.029,7.961,5,5.258,,,,,,,,,,,,,,,,,,,,,,,
Oregon,Urban,Interstate,0,102.05,88.68,19.02,10.33,6.55,4.09,2.44,1.22,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,Urban,Interstate,0,278.916,284.48,87.088,51.568,33.345,20.654,13.541,18.174,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Urban,Interstate,0,17.164,25.514,4.571,2.496,1.199,0.49,0.044,0.688,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Urban,Interstate,0,152.416,86.059,29.364,19.776,8.658,4.22,1.98,1.826,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,Urban,Interstate,0,14.223,51.325,12.422,5.134,3.045,1.2,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,Urban,Interstate,0.116,366.098,112.047,40.027,18.542,9.165,6.107,2.01,2.99,,,,,,,,,,,,,,,,,,,,,,,
Texas,Urban,Interstate,5.4,410.317,549.007,223.542,135.438,79.575,33.674,14.523,7.102,,,,,,,,,,,,,,,,,,,,,,,
Utah,Urban,Interstate,0,80.801,109.039,33.508,15.377,8.945,3,1.628,0.7,,,,,,,,,,,,,,,,,,,,,,,
Vermont,Urban,Interstate,0,42.927,15.812,3,1.888,0.4,0.1,0.1,0.081,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Urban,Interstate,0.436,154.408,234.95,68.855,28.044,19.14,8.48,4.33,2.417,,,,,,,,,,,,,,,,,,,,,,,
Washington,Urban,Interstate,0,112.69,124.13,43.08,22.12,11.32,6.85,6.31,8.17,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Urban,Interstate,0.326,118.214,64.16,20.779,13.149,8.641,4.866,2.403,2.7,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,Urban,Interstate,3.48,117.076,104.593,52.346,41.238,26.247,8.08,7.29,5.92,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Urban,Interstate,14.361,2.405,47.039,39.107,34.765,30.46,18.738,18.664,51.709,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Urban,Other Freeways & Expressways,0.522,11.339,8.86,3.735,2.394,0.842,0.615,0.495,0.3,,,,,,,,,,,,,,,,,,,,,,,
Alaska,Urban,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Urban,Other Freeways & Expressways,6.027,87.283,79.991,20.998,11.711,5.341,1.937,0.955,0.7,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Urban,Other Freeways & Expressways,0.505,10.619,38.148,19.313,10.534,8.547,6.143,5.71,2.5,,,,,,,,,,,,,,,,,,,,,,,
California,Urban,Other Freeways & Expressways,5.001,302.685,547.775,290.529,182.534,102.907,56.244,33.364,28.538,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Urban,Other Freeways & Expressways,0,67.567,138.592,52.404,28.908,17.534,8.452,4.755,6.032,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,Urban,Other Freeways & Expressways,0,78.77,109.67,28.91,12.76,8.6,2.42,1.15,1.48,,,,,,,,,,,,,,,,,,,,,,,
Delaware,Urban,Other Freeways & Expressways,0.56,4.11,22.09,6.58,2.7,1.42,0.92,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,Urban,Other Freeways & Expressways,0,0,2.039,0,5.768,0.062,3.893,0,3.703,,,,,,,,,,,,,,,,,,,,,,,
Florida,Urban,Other Freeways & Expressways,0,217.574,249.427,53.68,25.773,15.142,5.676,4.157,2.886,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Urban,Other Freeways & Expressways,6.06,57.029,63.866,18.818,14.996,9.699,4.196,1.014,1.611,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,Urban,Other Freeways & Expressways,0,0.3,6.8,7.276,5.88,4.529,2.48,1.9,4.47,,,,,,,,,,,,,,,,,,,,,,,
Idaho,Urban,Other Freeways & Expressways,7.748,8.405,8.939,1.214,0.802,1.138,0.628,0.149,0,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Urban,Other Freeways & Expressways,2.62,20.32,36.72,14.91,14.83,11.52,7.82,4.73,4.25,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Urban,Other Freeways & Expressways,21.292,43.771,38.224,27.657,15.278,8.592,6.451,3.243,3.008,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Urban,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Urban,Other Freeways & Expressways,0.037,76.328,64.19,21.335,12.257,7.677,4.933,1.757,2.211,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,Urban,Other Freeways & Expressways,0.517,31.858,13.198,7.533,5.279,2.957,1.895,0.515,0.4,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,Urban,Other Freeways & Expressways,0.495,8.3,11.115,7.369,11.758,11.099,9.21,6.514,6.5,,,,,,,,,,,,,,,,,,,,,,,
Maine,Urban,Other Freeways & Expressways,0,2.6,6.04,2.27,2.1,1.63,1,0.51,1.12,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Urban,Other Freeways & Expressways,0.392,88.006,133.041,36.352,20.441,12.071,5.838,4.917,7.31,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,Urban,Other Freeways & Expressways,0.809,155.698,104.348,23.872,11.978,9.305,4.965,3.678,8.033,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Urban,Other Freeways & Expressways,2.257,85.034,155.302,55.319,23.26,13.989,6.605,6.518,5.374,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,Urban,Other Freeways & Expressways,0.019,56.176,93.443,35.232,16.561,9.11,4.627,3.024,2.533,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,Urban,Other Freeways & Expressways,0,13.259,30.062,9.396,4.689,2.84,1.92,0.574,1.084,,,,,,,,,,,,,,,,,,,,,,,
Missouri,Urban,Other Freeways & Expressways,3.2,183.546,172.879,60.478,29.115,23.334,9.595,5.852,6.034,,,,,,,,,,,,,,,,,,,,,,,
Montana,Urban,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,Urban,Other Freeways & Expressways,15.17,14.92,42.55,19.16,8.13,7.98,5.63,4.06,12.73,,,,,,,,,,,,,,,,,,,,,,,
Nevada,Urban,Other Freeways & Expressways,0,22.74,8.561,11.1,6.2,2.525,1.4,0.4,0.241,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,Urban,Other Freeways & Expressways,0,55.513,13.847,1.906,1.6,0.593,0.3,0.3,0,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,Urban,Other Freeways & Expressways,0,139.67,178.82,56.1,24.82,20.05,12.16,7.2,14.19,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,Urban,Other Freeways & Expressways,0,0.795,3.675,4.096,2.256,0.333,0.345,0,0.206,,,,,,,,,,,,,,,,,,,,,,,
New York,Urban,Other Freeways & Expressways,42.22,50.92,246.85,134.44,97.76,80.29,56.08,42.09,65.53,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,Urban,Other Freeways & Expressways,18.012,183.654,164.239,48.348,24.954,15.522,7.698,4.822,5.32,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,Urban,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Ohio,Urban,Other Freeways & Expressways,0.549,173.455,235.128,78.13,38.47,23.936,13.035,8.822,8.875,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Urban,Other Freeways & Expressways,12.803,42.88,79.608,28.169,16.964,12.483,6.071,2.9,3.222,,,,,,,,,,,,,,,,,,,,,,,
Oregon,Urban,Other Freeways & Expressways,0.23,22.12,24.5,9.32,3.29,2.03,1.63,0.46,0.14,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,Urban,Other Freeways & Expressways,0,94.231,225.906,102.005,57.197,39.453,19.407,11.466,17.907,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Urban,Other Freeways & Expressways,1.685,18.865,25.365,14.428,9.211,3.808,2.534,1.691,3.238,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Urban,Other Freeways & Expressways,0,18.001,35.754,13.262,5.976,6.295,2.386,0.972,1.11,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,Urban,Other Freeways & Expressways,0,0.316,6.529,4.654,4.344,1.118,0.528,0.484,0.197,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,Urban,Other Freeways & Expressways,0.014,73.092,49.202,19.406,13.453,7.95,4.85,1.535,3.115,,,,,,,,,,,,,,,,,,,,,,,
Texas,Urban,Other Freeways & Expressways,53.569,194.41,499.677,280.273,183.268,101.421,46.081,21.012,15.576,,,,,,,,,,,,,,,,,,,,,,,
Utah,Urban,Other Freeways & Expressways,0,18.3,18.567,7.302,3.289,0.7,0.2,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,
Vermont,Urban,Other Freeways & Expressways,0.059,2.154,9.778,2.758,0.615,0.5,0,0,0.177,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Urban,Other Freeways & Expressways,1.369,78.888,171.965,48.031,26.819,15.128,5.104,3.173,1.421,,,,,,,,,,,,,,,,,,,,,,,
Washington,Urban,Other Freeways & Expressways,0,113.09,187.245,49.901,27.82,14.534,7.61,6.63,14.628,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Urban,Other Freeways & Expressways,0.06,0.1,2.622,2.55,2.1,2.4,1.39,1.619,1.422,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,Urban,Other Freeways & Expressways,0,68.643,90.636,69.896,51.661,36.284,12.9,4.87,6.63,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Urban,Other Freeways & Expressways,2.452,0.3,8.308,6.746,5.49,5.393,4.244,3.734,19.154,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Urban,Other Principal Arterial,12.51,434.905,491.26,151.129,78.558,43.615,30.706,19.51,38.201,,,,,,,,,,,,,,,,,,,,,,,
Alaska,Urban,Other Principal Arterial,0.778,13.586,39.27,27.593,18.465,14.778,7.05,6.843,11.327,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Urban,Other Principal Arterial,230.48,79.373,134.467,112.01,99.039,79.376,48.056,35.169,30.838,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Urban,Other Principal Arterial,20.024,56.696,191.4,119.825,78.128,61.781,33.566,26.032,42.583,,,,,,,,,,,,,,,,,,,,,,,
California,Urban,Other Principal Arterial,36.144,150.145,553.56,747.309,856.994,967.641,758.525,721.797,1903.63,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Urban,Other Principal Arterial,0.2,74.618,253.027,192.559,161.407,123.449,78.151,59.367,125.857,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,Urban,Other Principal Arterial,0,17.14,149.59,146.95,121.34,91.97,59.7,42.78,82.34,,,,,,,,,,,,,,,,,,,,,,,
Delaware,Urban,Other Principal Arterial,1.28,18.37,89.44,41.41,20.32,13.55,9.21,5.61,15.56,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,Urban,Other Principal Arterial,0,0,0.2,0,8.803,0.071,24.292,0.171,73.037,,,,,,,,,,,,,,,,,,,,,,,
Florida,Urban,Other Principal Arterial,7.815,931.19,1673.432,620.376,308.197,181.385,92.26,57.169,86.811,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Urban,Other Principal Arterial,76.926,579.781,980.802,326.305,170.05,99.182,56.726,37.961,61.907,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,Urban,Other Principal Arterial,0,19.305,39.951,45.217,37.34,41.362,23.839,17.879,43.866,,,,,,,,,,,,,,,,,,,,,,,
Idaho,Urban,Other Principal Arterial,152.458,55.587,85.781,39.575,24.001,21.597,10.696,9.326,12.625,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Urban,Other Principal Arterial,14.49,161.41,736.88,537.51,431.47,315.08,217.61,161.44,312.07,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Urban,Other Principal Arterial,622.916,273.168,350.403,175.854,122.702,85.091,54.672,38.871,51.636,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Urban,Other Principal Arterial,22.453,92.404,200.148,169.359,130.141,92.958,56.548,44.049,107.465,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Urban,Other Principal Arterial,0.038,74.83,84.444,45.33,35.819,26.238,16.793,10.982,16.478,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,Urban,Other Principal Arterial,32.628,153.928,196.333,85.302,63.865,40.824,23.217,18.928,31.861,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,Urban,Other Principal Arterial,105.118,80.568,206.139,141.738,121.61,107.048,80.024,75.133,156.143,,,,,,,,,,,,,,,,,,,,,,,
Maine,Urban,Other Principal Arterial,0.25,13.504,31.65,23.27,17.42,13.64,7.97,4.61,16.95,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Urban,Other Principal Arterial,16.114,155.542,285.458,131.148,94.415,78.396,55.857,50.524,156.65,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,Urban,Other Principal Arterial,28.414,46.21,256.622,269.735,274.603,277.766,196.266,169.557,456.537,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Urban,Other Principal Arterial,4.753,138.259,453.318,397.029,327.75,275.78,209.895,165.424,391.04,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,Urban,Other Principal Arterial,2.013,150.594,222.923,96.068,56.259,33.608,16.893,12.697,26.246,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,Urban,Other Principal Arterial,0.01,115.456,282.478,169.758,113.27,73.648,52.464,36.999,104.544,,,,,,,,,,,,,,,,,,,,,,,
Missouri,Urban,Other Principal Arterial,0.988,128.363,281.159,129.611,99.542,71.726,47.836,38.955,70.927,,,,,,,,,,,,,,,,,,,,,,,
Montana,Urban,Other Principal Arterial,3.594,26.524,58.298,41.723,30.799,23.688,17.259,15.693,39.536,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,Urban,Other Principal Arterial,79.38,11.71,41.17,29.3,27.28,28.09,23.7,19.98,65.4,,,,,,,,,,,,,,,,,,,,,,,
Nevada,Urban,Other Principal Arterial,12.367,119.09,106.582,46.946,30.691,26.872,12.835,8.78,13.308,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,Urban,Other Principal Arterial,0.213,62.709,66.648,27.715,18.856,11.952,8.487,5.688,21.201,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,Urban,Other Principal Arterial,0,140.79,355.61,216.42,197,183.94,150.86,136.04,418.29,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,Urban,Other Principal Arterial,28.658,90.638,151.866,101.207,90.02,70.87,45.239,34.493,87.668,,,,,,,,,,,,,,,,,,,,,,,
New York,Urban,Other Principal Arterial,111.77,89.78,660.32,479.86,366.96,291.34,208.29,193.38,759.46,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,Urban,Other Principal Arterial,30.927,183.612,639.686,423.209,268.727,170.889,95.345,62.177,120.113,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,Urban,Other Principal Arterial,1.207,22.921,52.952,38.032,31.597,16.564,12.764,9.132,22.77,,,,,,,,,,,,,,,,,,,,,,,
Ohio,Urban,Other Principal Arterial,11.836,204.508,561.528,379.031,308.277,250.918,176.854,138.43,415.019,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Urban,Other Principal Arterial,669.192,43.793,148.95,88.302,74.005,50.65,29.391,23.841,46.8,,,,,,,,,,,,,,,,,,,,,,,
Oregon,Urban,Other Principal Arterial,2.26,96.86,254,161.67,116.54,80.87,51.07,33.17,58.35,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,Urban,Other Principal Arterial,0,181.182,648.91,496.357,438.595,331.567,224.471,166.794,371.647,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Urban,Other Principal Arterial,18.182,5.329,18.893,26.418,42.782,49.173,40.837,37.155,103.507,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Urban,Other Principal Arterial,0,56.246,339.351,245.747,172.004,110.668,57.533,33.896,48.629,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,Urban,Other Principal Arterial,8.303,5.754,32.536,22.337,20.138,16.814,12.927,10.184,7.94,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,Urban,Other Principal Arterial,67.308,456.677,671.726,254.186,159.604,100.102,68.535,42.003,82.521,,,,,,,,,,,,,,,,,,,,,,,
Texas,Urban,Other Principal Arterial,73.598,626.234,1509.651,933.442,703.211,567.139,409.206,332.421,1019.244,,,,,,,,,,,,,,,,,,,,,,,
Utah,Urban,Other Principal Arterial,11.139,115.473,249.451,116.387,69.281,41.294,21.358,12.635,21.976,,,,,,,,,,,,,,,,,,,,,,,
Vermont,Urban,Other Principal Arterial,2.576,11.675,41.434,24.187,13.979,10.86,6.142,4.401,11.266,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Urban,Other Principal Arterial,23.392,57.789,368.692,277.145,217.995,161.338,102.498,72.512,73.808,,,,,,,,,,,,,,,,,,,,,,,
Washington,Urban,Other Principal Arterial,20.815,52.113,254.696,230.2,200.114,161.874,116.952,96.604,309.041,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Urban,Other Principal Arterial,3.414,31.902,148.439,80.696,51.234,31.617,16.831,15.315,20.279,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,Urban,Other Principal Arterial,21.582,81.879,276.798,295.626,316.45,274.446,205.345,147.837,328.152,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Urban,Other Principal Arterial,13.361,0.2,7.47,19.322,41.153,52.015,50.394,47.832,163.299,,,,,,,,,,,,,,,,,,,,,,,
