State,Location,System,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220
Alabama,Rural,Interstate,3.338,409.293,103.533,22.363,16.459,8.537,3.388,2.009,1.704
Alaska,Rural,Interstate,0,203.573,330.051,151.728,112.55,86.068,49.1,30.043,38.4
Arizona,Rural,Interstate,1.513,537.675,223.363,78.487,37.938,16.082,10.968,4.8,5.4
Arkansas,Rural,Interstate,0,234.946,138.771,32.715,15.033,8.524,3.378,2.789,2.734
California,Rural,Interstate,8.534,519.824,369.451,143.799,75.642,33.344,16.241,8.239,10.758
Colorado,Rural,Interstate,0,135.267,288.429,117.222,38.784,24.853,23.217,14.7,5.649
Connecticut,Rural,Interstate,0,16.81,6.36,3.06,1.45,0.75,0.1,0.1,0.11
Delaware,Rural,Interstate,0,0,0,0,0,0,0,0,0
District of Columbia,Rural,Interstate,0,0,0,0,0,0,0,0,0
Florida,Rural,Interstate,0.377,601.498,96.704,6.596,5.507,2.713,1.773,0.873,1.22
Georgia,Rural,Interstate,0,214.577,223.914,56.558,23.246,9.011,5.784,2.094,2.138
Hawaii,Rural,Interstate,0,0,0,0,0,0,0,0,0
Idaho,Rural,Interstate,0.727,308.858,152.107,32.245,15.681,7.481,2.623,1.031,2.001
Illinois,Rural,Interstate,0,740.59,364.81,76.14,30.93,17.23,6.27,3.65,3.72
Indiana,Rural,Interstate,13.09,433.022,189.412,65.243,30.644,18.953,12.678,8.986,12.402
Iowa,Rural,Interstate,26.207,287.79,205.223,56.687,22.419,6.877,2.834,1.562,1.867
Kansas,Rural,Interstate,0,391.485,179.232,43.554,15.794,6.3,1.873,0.8,0.392
Kentucky,Rural,Interstate,2.461,503.526,136.936,32.204,18.5,10.228,3.666,1.496,2.146
Louisiana,Rural,Interstate,6.576,192.94,133.83,87.291,64.809,29.362,11.384,4.1,2.2
Maine,Rural,Interstate,0,154.41,75.86,25.99,13.46,5.88,1.88,1.2,0.6
Maryland,Rural,Interstate,0,66.238,56.658,11.481,4.651,1.483,0.456,0.454,0.715
Massachusetts,Rural,Interstate,0,34.158,21.626,4.23,2.2,0.9,0.267,0.5,0.4
Michigan,Rural,Interstate,4.227,181.693,237.572,66.586,33.89,19.554,9.399,5.956,3.453
Minnesota,Rural,Interstate,0.015,192.044,294.869,50.093,29.134,10.913,4.797,3.313,2.904
Mississippi,Rural,Interstate,0,386.796,115.478,30.706,21.576,13.443,6.018,2.31,2.11
Missouri,Rural,Interstate,0,584.668,199.827,30.888,14.163,6.936,3.4,1.151,0.5
Montana,Rural,Interstate,0,573.324,397.474,67.5,29.047,14.14,5.4,3.2,4.4
Nebraska,Rural,Interstate,2.81,212.84,145.33,25.47,15.25,8.6,2.8,0.6,0.9
Nevada,Rural,Interstate,7.143,399.975,28.055,10.3,2.9,3.4,3.4,1,0.5
New Hampshire,Rural,Interstate,0,112.033,24,3.828,1.6,0.5,0,0,0
New Jersey,Rural,Interstate,0,17.1,22.55,3.31,1,0.07,0.35,0.5,0
New Mexico,Rural,Interstate,0,561.449,175.857,54.64,27.248,13.892,5.347,2.31,2.593
New York,Rural,Interstate,10.96,316.42,304.87,85.45,44.49,19.37,8.05,5.83,8.32
North Carolina,Rural,Interstate,0.641,386.114,122.836,22.787,15.161,7.191,4.009,1.561,0.49
North Dakota,Rural,Interstate,0,252.762,203.956,36.687,10.485,3.416,1.226,0.9,0.3
Ohio,Rural,Interstate,0,346.1,195.524,55.788,22.909,12.178,5.034,2.451,2.547
Oklahoma,Rural,Interstate,1.297,285.815,260.639,48.634,23.54,13.128,5.919,4.685,2.76
Oregon,Rural,Interstate,0,279.93,158.05,37.06,12.75,4.27,1.26,1.17,0.69
Pennsylvania,Rural,Interstate,0,518.984,364.954,89.359,55.553,20.466,8.722,7.752,8.644
Rhode Island,Rural,Interstate,0,15.043,2.156,0.42,0.08,0.021,0.032,0.013,0.078
South Carolina,Rural,Interstate,0,359.77,132.389,29.88,13.84,6.365,2.297,1.25,0.5
South Dakota,Rural,Interstate,0,218.611,313.169,35.867,13.421,6.149,2.615,1.2,0
Tennessee,Rural,Interstate,0.02,518.603,91.86,14.415,10.068,5.445,2.063,1.5,0.22
Texas,Rural,Interstate,1.058,894.229,820.74,180.584,62.355,27.074,8.454,3.6,2.634
Utah,Rural,Interstate,0,377.945,235.753,51.717,10.714,4.855,1.6,0.8,0.5
Vermont,Rural,Interstate,0.586,175.873,60.092,10.8,5.9,1.8,0.5,0.2,0.219
Virginia,Rural,Interstate,0,271.93,267.66,39.553,11.204,5.617,1.07,0.394,0.362
Washington,Rural,Interstate,0,170.39,144.9,41.09,27.76,18.14,9.63,8.01,9.07
West Virginia,Rural,Interstate,0.3,159.096,110.502,23.528,11.771,6.203,4.415,1.307,2.23
Wisconsin,Rural,Interstate,0,247.04,136.19,45.67,42.04,23.41,8.13,5.62,4.23
Wyoming,Rural,Interstate,0,482.567,210.748,62.094,27.825,13.848,5.42,2.25,2.722
Alabama,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Alaska,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Arizona,Rural,Other Freeways & Expressways,0,17,0.215,0.1,0.1,0.189,0,0,0
Arkansas,Rural,Other Freeways & Expressways,0,2.171,25.086,19.1,12.78,7.4,3.902,1.2,0.397
California,Rural,Other Freeways & Expressways,3.8,114.298,156.641,44.582,23.104,14.474,7.112,3.234,2.211
Colorado,Rural,Other Freeways & Expressways,0,5.735,10.571,7.169,3.7,0.596,0.256,0.1,0
Connecticut,Rural,Other Freeways & Expressways,0,15.06,15.36,1.95,1.79,0.68,0.38,0.3,0
Delaware,Rural,Other Freeways & Expressways,0.06,1.2,8.48,4.2,1.95,0.62,0.93,0.2,0
District of Columbia,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Florida,Rural,Other Freeways & Expressways,0.223,75.177,87.095,8.034,2.166,1.446,0.8,0.6,0.4
Georgia,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Hawaii,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Idaho,Rural,Other Freeways & Expressways,53.216,22.118,26.398,5.839,2.186,0.837,0.64,0.236,0.05
Illinois,Rural,Other Freeways & Expressways,0,3.69,14.82,19,5.53,3.29,1,0.74,0.21
Indiana,Rural,Other Freeways & Expressways,0.269,48.503,44.905,20.329,17.118,8.357,3.662,1.254,1.966
Iowa,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Kansas,Rural,Other Freeways & Expressways,0,162.76,190.584,33.072,12.076,3.9,1.242,0.5,0.129
Kentucky,Rural,Other Freeways & Expressways,0.509,242.918,117.188,20.132,7.937,5.28,2.257,0.712,0.875
Louisiana,Rural,Other Freeways & Expressways,0.228,0.9,7.52,5.5,5.514,2.012,1.669,0.6,0.4
Maine,Rural,Other Freeways & Expressways,0,0,0.55,0.12,0.2,0,0,0,0.06
Maryland,Rural,Other Freeways & Expressways,0.031,40.208,22.707,3.5,1.012,0.602,0.228,0.665,0.539
Massachusetts,Rural,Other Freeways & Expressways,0,3.958,5.326,0.6,0.26,0,0.1,0,0.2
Michigan,Rural,Other Freeways & Expressways,0,195.962,102.464,24.527,8.909,3.822,4.729,1.923,1.162
Minnesota,Rural,Other Freeways & Expressways,0,15.422,12.641,3.467,1.194,0.468,0.404,0.1,0.1
Mississippi,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Missouri,Rural,Other Freeways & Expressways,0,584.388,416.305,81.839,27.125,9.997,3.174,1.494,1.164
Montana,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Nebraska,Rural,Other Freeways & Expressways,19,66.32,125.67,59.13,30.23,15.05,9.19,3.99,3
Nevada,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
New Hampshire,Rural,Other Freeways & Expressways,0,8.671,0.553,0,0,0,0,0,0
New Jersey,Rural,Other Freeways & Expressways,0,7.91,19,4.62,2.22,1.2,0,0.3,0.2
New Mexico,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
New York,Rural,Other Freeways & Expressways,3.24,24.42,83.55,31.49,20.47,10.26,4.06,2.23,1.19
North Carolina,Rural,Other Freeways & Expressways,0.49,226.092,146.817,24.747,9.318,6.717,2.355,0.983,2.154
North Dakota,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Ohio,Rural,Other Freeways & Expressways,0,132.207,135.186,41.819,14.459,6.492,2.407,0.7,1.221
Oklahoma,Rural,Other Freeways & Expressways,0,0.1,0.901,0,0.2,0.2,0.2,0.1,0.4
Oregon,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Pennsylvania,Rural,Other Freeways & Expressways,0,112.007,158.651,38.232,14.759,9.401,6.568,4.641,5.954
Rhode Island,Rural,Other Freeways & Expressways,0,3.9,1.707,2,2.005,0.9,0,0.2,0.1
South Carolina,Rural,Other Freeways & Expressways,0,10.085,26.653,4.055,3.121,0.2,0.35,0.1,0
South Dakota,Rural,Other Freeways & Expressways,0,107.865,103.073,47.225,21.838,6.558,2.395,1.525,0.328
Tennessee,Rural,Other Freeways & Expressways,0,9.031,5,0.23,0.117,0,0,0,0
Texas,Rural,Other Freeways & Expressways,0.8,45.52,48.758,21.406,5.828,3.447,1.2,0.5,0.3
Utah,Rural,Other Freeways & Expressways,0,0.348,3.8,3,1.011,0.6,0.2,0,0
Vermont,Rural,Other Freeways & Expressways,0,0,0.595,1.09,0,0,0,0,0
Virginia,Rural,Other Freeways & Expressways,0.162,19.488,58.354,10.769,2.386,0.744,0.342,0.124,0.041
Washington,Rural,Other Freeways & Expressways,0,138.89,295.23,87.86,32.39,17.98,14.15,10.01,15.62
West Virginia,Rural,Other Freeways & Expressways,0,0,0.108,0.2,0,0.13,0,0,0.018
Wisconsin,Rural,Other Freeways & Expressways,0,54.76,55.53,43.35,24.33,15.77,5.98,2.08,1.56
Wyoming,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Alabama,Rural,Other Principal Arterial,3.653,964.143,812.668,137.734,51.035,27.777,12.45,8.404,10.823
Alaska,Rural,Other Principal Arterial,320.561,60.021,105.969,45.953,45.059,45.609,35.09,32.921,108.068
Arizona,Rural,Other Principal Arterial,43.19,385.168,398.051,165.611,103.662,58.459,28.246,15.683,12.84
Arkansas,Rural,Other Principal Arterial,0.116,353.684,823.875,322.016,185.981,100.097,45.522,25.053,20.578
California,Rural,Other Principal Arterial,31.89,851.281,1368.049,474.586,236.877,128.435,65.548,46.705,60.555
Colorado,Rural,Other Principal Arterial,0,600.39,1128.422,438.121,203.814,103.373,50.465,26.265,17.893
Connecticut,Rural,Other Principal Arterial,0,9.9,49.61,28.55,17.28,8.27,4.19,2.6,1.67
Delaware,Rural,Other Principal Arterial,1.54,23.47,56.53,12.98,3.15,1.5,0.2,0.29,0.1
District of Columbia,Rural,Other Principal Arterial,0,0,0,0,0,0,0,0,0
Florida,Rural,Other Principal Arterial,0.653,1018.572,1197.574,265.624,84.131,32.639,9.253,4.678,3.922
Georgia,Rural,Other Principal Arterial,133.728,805.202,1078.895,264.241,94.874,44.678,15.239,7.39,8.243
Hawaii,Rural,Other Principal Arterial,0,1.2,20.035,17.027,12.146,11.728,6.726,4.2,4.988
Idaho,Rural,Other Principal Arterial,120.23,463.174,702.256,218.727,90.904,37.426,14.459,9.378,5.088
Illinois,Rural,Other Principal Arterial,6.9,378.18,971.58,438.22,254.43,152.78,75.57,42.08,40.44
Indiana,Rural,Other Principal Arterial,28.102,715.992,677.278,256.863,133.892,68.223,35.181,32.813,17.065
Iowa,Rural,Other Principal Arterial,31.368,914.191,1127.865,553.377,346.42,194.08,102.648,67.975,80.15
Kansas,Rural,Other Principal Arterial,0,1532.891,794.221,162.824,67.343,36.849,17.456,8.232,7.176
Kentucky,Rural,Other Principal Arterial,4.546,515.316,486.378,122.177,48.29,23.13,9.359,4.292,5.15
Louisiana,Rural,Other Principal Arterial,17.861,131.363,410.841,187.902,95.172,64.374,37.425,18.691,36.179
Maine,Rural,Other Principal Arterial,0.15,222.503,291.203,102.026,57.404,34.56,22.38,18.74,45.16
Maryland,Rural,Other Principal Arterial,0.486,135.266,132.215,25.835,10.804,6.956,3.377,3.087,2.859
Massachusetts,Rural,Other Principal Arterial,0,17.034,45.993,21.34,10.905,4.996,2,1.333,1.66
Michigan,Rural,Other Principal Arterial,0.021,856.479,816.376,234.314,117.348,57.009,21.1,12.34,14.993
Minnesota,Rural,Other Principal Arterial,0.512,1249.788,1136.019,479.354,284.359,154.711,72.207,40.407,37.042
Mississippi,Rural,Other Principal Arterial,0,481.721,726.727,250.937,154.405,90.075,42.4,19.167,17.806
Missouri,Rural,Other Principal Arterial,0.51,644.362,845.552,229.814,86.342,40.218,16.253,8.568,7.94
Montana,Rural,Other Principal Arterial,0,635.708,1317.576,424.615,189.671,93.082,43.969,23.243,44.98
Nebraska,Rural,Other Principal Arterial,210.81,938.46,708.09,216.21,115.86,66.97,30.59,20.44,31.41
Nevada,Rural,Other Principal Arterial,0,990.133,413.773,75.688,27.049,6.951,3.364,1.553,0.913
New Hampshire,Rural,Other Principal Arterial,0.053,151.348,109.922,28.273,14.453,7.619,4,2.92,4.154
New Jersey,Rural,Other Principal Arterial,0,38.37,43.37,19.84,19.47,17.24,8.26,5.47,7.62
New Mexico,Rural,Other Principal Arterial,2.503,680.646,700.829,253.174,130.236,71.863,36.825,19.189,21.967
New York,Rural,Other Principal Arterial,37.45,289.63,1010.88,354.71,178.48,103,60.08,31.72,39.87
North Carolina,Rural,Other Principal Arterial,14.766,339.919,778.361,254.143,100.372,41.817,20.001,10.442,12.559
North Dakota,Rural,Other Principal Arterial,0,1233.563,1138.039,312.16,132.817,62.674,24.795,14.943,24.316
Ohio,Rural,Other Principal Arterial,4.882,528.758,661.108,177.736,80.86,38.005,16.739,9.096,10.627
Oklahoma,Rural,Other Principal Arterial,41.035,384.203,948.429,390.424,208.162,119.259,68.446,40.268,46.719
Oregon,Rural,Other Principal Arterial,0.12,669.39,1325.74,376.41,157.35,71.39,28.04,15.54,12.96
Pennsylvania,Rural,Other Principal Arterial,0,302.884,715.044,243.482,119.191,60.496,32.327,18.735,24.49
Rhode Island,Rural,Other Principal Arterial,0.834,4.1,11.624,13.429,17.609,15.869,12.734,7.981,13.039
South Carolina,Rural,Other Principal Arterial,0,203.374,701.479,308.283,167.466,84.624,40.139,21.059,19.176
South Dakota,Rural,Other Principal Arterial,22.102,400.987,1113.936,507.676,269.276,137.978,70.588,41.326,28.454
Tennessee,Rural,Other Principal Arterial,98.523,670.101,689.623,170.718,80.271,41.997,17.579,9.792,5.697
Texas,Rural,Other Principal Arterial,41.881,2382.451,3597.263,1385.42,587.021,246.024,94.237,43.029,35.01
Utah,Rural,Other Principal Arterial,0,205.466,513.035,237.303,118.048,53.056,18.357,9.427,7.187
Vermont,Rural,Other Principal Arterial,0.936,99.112,134.746,36.774,19.802,13.684,8.295,6.917,9.339
Virginia,Rural,Other Principal Arterial,0.624,256.69,828.907,314.856,137.12,56.26,22.879,10.563,5.356
Washington,Rural,Other Principal Arterial,0,193.57,635.677,261.434,114.19,52.699,24.136,14.76,16.674
West Virginia,Rural,Other Principal Arterial,22.687,132.631,390.495,213.392,117.9,66.784,32.068,20.512,19.88
Wisconsin,Rural,Other Principal Arterial,0.76,857.55,912.005,480.73,281.675,157.18,80.315,50.91,50.14
Wyoming,Rural,Other Principal Arterial,2.948,0.1,4.03,5.087,4.263,6.46,5.215,6.267,12.4
Alabama,Rural,Minor Arterial,21.18574,899.95511,2219.4344,495.00936,198.78764,80.46929,26.61289,18.53793,23.71889
Alaska,Rural,Minor Arterial,82.73434,40.11053,51.11825,32.65702,49.00602,47.02244,35.77411,30.69496,48.65056
Arizona,Rural,Minor Arterial,10.11851,195.84425,435.34006,224.8873,158.37427,93.31466,52.60755,21.4908,15.2174
Arkansas,Rural,Minor Arterial,23.26834,281.89618,1292.69781,563.52904,348.10677,268.71996,113.66671,85.11277,65.41223
California,Rural,Minor Arterial,12.80873,214.47595,1886.09197,980.04178,873.60692,823.93896,509.42892,358.77129,308.23417
Colorado,Rural,Minor Arterial,291.94165,111.49364,967.30063,715.4065,548.61257,339.41473,192.94542,138.95541,169.31398
Connecticut,Rural,Minor Arterial,0.27172,2.5186,49.79547,51.67268,58.21225,26.65105,15.77101,5.59419,7.3411
Delaware,Rural,Minor Arterial,0.11687,22.1238,46.95048,12.33058,4.81746,1.13473,0.30899,1.2944,0.51128
District of Columbia,Rural,Minor Arterial,0,0,0,0,0,0,0,0,0
Florida,Rural,Minor Arterial,8.49998,512.80916,1187.79694,318.91845,112.02811,30.55594,7.91543,10.96178,11.06788
Georgia,Rural,Minor Arterial,1433.3302,1459.96137,2101.49596,556.83702,216.33038,92.58939,26.08864,14.80885,22.31787
Hawaii,Rural,Minor Arterial,1.42,42.666,51.721,38.474,42.299,33.105,19.531,11.3,15.851
Idaho,Rural,Minor Arterial,6.05743,236.38475,504.6469,161.85788,120.1416,67.37429,19.09533,11.28736,11.37333
Illinois,Rural,Minor Arterial,0,343.38616,2259.44378,1107.05985,478.82343,326.68942,114.80727,58.99144,29.64882
Indiana,Rural,Minor Arterial,11.0669,557.55045,795.01053,312.50043,236.29168,97.36764,42.98083,15.98288,16.62063
Iowa,Rural,Minor Arterial,2.59476,0,0,0,0,0,0,0,0
Kansas,Rural,Minor Arterial,36.03033,1071.42712,2212.82573,587.16719,196.42086,82.47723,37.87259,21.12806,21.08346
Kentucky,Rural,Minor Arterial,23.21103,240.8456,1024.90966,572.79812,272.16156,106.15805,49.32184,22.72248,21.95469
Louisiana,Rural,Minor Arterial,20.37904,141.61983,747.25632,384.79059,266.73745,167.89319,88.60511,47.04041,60.08692
Maine,Rural,Minor Arterial,5.061,190.16,303.027,143.91,100.46,71.52,41.8,29.27,60.72
Maryland,Rural,Minor Arterial,9.67934,170.06691,325.5684,118.351,43.39128,21.65441,10.12885,6.22838,12.09719
Massachusetts,Rural,Minor Arterial,1.28443,47.54326,116.41212,46.44738,29.92577,27.65903,12.89177,6.7921,17.26295
Michigan,Rural,Minor Arterial,47.69461,1211.12831,2326.68014,695.84435,273.36207,156.38085,74.53523,52.98994,54.90471
Minnesota,Rural,Minor Arterial,15.97516,1825.71998,1740.11818,1099.07165,718.78852,402.82344,316.80164,182.37211,151.08439
Mississippi,Rural,Minor Arterial,34.99645,549.67909,1371.67943,615.85147,458.40326,342.30488,213.0015,124.33143,78.82394
Missouri,Rural,Minor Arterial,27.88928,239.58571,1248.04433,1088.08204,733.58339,369.95684,167.8927,89.01064,57.80416
Montana,Rural,Minor Arterial,8.29717,396.22066,1361.98269,529.59966,272.92415,144.29926,73.07332,34.33292,38.64744
Nebraska,Rural,Minor Arterial,20.99852,2012.81944,1113.81087,278.96195,192.85288,117.92896,58.99353,64.01513,78.71768
Nevada,Rural,Minor Arterial,0.58594,152.00032,355.9695,136.40127,45.93794,19.79424,5.1982,3.89695,1.76792
